"Step","hearty-sponge-54 - Reward","swift-dust-53 - Reward","glamorous-waterfall-52 - Reward"
"0","-71.69764803802343","-291.6938154404446","-232.26251711749805"
"1","-541.785113395403","-450.1837500132589","-534.184977937134"
"2","-366.5903162499464","-394.8652897273437","-606.9814550518843"
"3","-236.473184403032","-569.4546601954753","-624.4889053668571"
"4","-190.4393449409066","-347.43991124298645","-675.6672871360818"
"5","-317.6488551626255","-335.4730453500336","-291.09397165768655"
"6","-480.7661145814981","-334.41167371008817","-600.7621425780221"
"7","-197.15492189029106","-232.1206766520433","-306.03218695440603"
"8","-175.40903082249275","-57.01187879116268","-208.9237906318925"
"9","-186.32910709783317","-78.79335262994562","-74.17447087226697"
"10","-303.51182601677976","-235.51333227823494","-248.13581312645027"
"11","-239.47322406294745","-12.12636892577882","-165.22116349961945"
"12","-174.42763003518263","-111.83029932926357","-142.5249596650128"
"13","53.43136112987415","-139.3030922869666","-89.22073055588095"
"14","-274.140712234675","-123.89705038120442","-343.2262929069797"
"15","-217.3835081106759","-75.63240023101514","-265.2704862732581"
"16","-39.80275240967397","-120.79955050588242","-154.5289667765548"
"17","-112.66970988880162","-185.3426660556774","-90.2264579879523"
"18","24.818168298506766","-241.33889486643372","-28.199729576764188"
"19","-101.12629537581702","-57.118885279145786","13.244761530521595"
"20","-84.50012903967131","-119.95959404869647","80.54147305020119"
"21","-101.0516873873609","-41.645229562093405","-222.10621705318277"
"22","-133.88162965527027","-67.77479093307383","-8.627425995517447"
"23","-52.916092223277175","18.349501331816242","-13.7080508463674"
"24","-5.540931442184371","-156.82550757224527","-209.13028361602267"
"25","-65.49809086975219","-23.08050046794603","-24.173702051146506"
"26","-47.49223511222782","-57.7859532090756","-78.6356832865353"
"27","-31.934838220101796","23.528013451751278","-63.53722872028158"
"28","-65.4391604276704","-64.72899877798874","-32.634185233282"
"29","-63.57478559561951","-96.58258390121402","-32.987892350658655"
"30","-90.11329301413706","-226.9820280878752","-44.11070675435227"
"31","-43.692860582520424","-89.7149785878379","-40.49782191433995"
"32","-32.082074813532685","-68.56079046508881","5.30911228688716"
"33","-24.47388807201583","-165.1528427288667","42.443475056644296"
"34","-134.93089038736744","-270.35842363037295","51.252698772587195"
"35","-99.54329608883296","-50.232061969406146","-71.07639651855649"
"36","-74.7896434169972","-130.05047260664546","65.51246826493986"
"37","-123.64760946433174","-115.39948025390105","10.719901682049056"
"38","-138.20077158445142","-96.77032470151752","-29.32839045704368"
"39","-168.77563555206547","-27.356991839858505","97.85218953624108"
"40","-127.83959522728908","-12.744817681186907","9.952919416804093"
"41","-339.5143032154342","-77.11398457486817","-106.8014701273565"
"42","-65.27619737006981","34.75545681623856","-22.007451763396286"
"43","-56.908363964230865","-50.25404452590398","81.07425712875016"
"44","63.510326939586946","-83.91794485517718","104.47021025163204"
"45","-44.00555605676851","-76.40845662829031","-110.52004322679187"
"46","41.78685967591207","-76.89335002501784","-59.25568648154801"
"47","-89.29179548665876","-54.83215695756564","-32.26683224616184"
"48","-47.63257346896588","-19.938096698047566","9.941565215970357"
"49","-53.273731358682056","-52.46792355327812","-26.241935427431134"
"50","12.532550428702617","-30.923257504312982","-16.494224720168177"
"51","9.258378894749356","-30.867998692392387","84.63518149932655"
"52","-259.4708538241011","-64.85959069976312","97.57774875098116"
"53","48.16400566322288","-42.90248694282412","92.10338212188645"
"54","76.59452541938641","-31.760695983082233","60.80584761683444"
"55","-72.15568948963663","-13.18644585303436","65.78134952913007"
"56","25.805539179382798","-28.062717158527686","116.5625561315064"
"57","65.65862157111471","7.7060148529590125","-8.186611568873845"
"58","54.5699723095856","-31.22263304145787","67.42656304334461"
"59","33.025346750215434","23.384930933173052","126.32288369207404"
"60","45.944713230913294","0.9475051549144262","54.31101323969931"
"61","112.43680667648127","-30.69334925217595","-53.92296009622311"
"62","0.39351139123287737","58.57668259240208","70.44399937681595"
