"Step","worthy-wind-9 - Reward","clear-durian-8 - Reward","LunarLander-1 - Reward"
"49","-480.73967449413567","-507.6418622359064","-690.9635858666207"
"50","-369.09464303691345","-477.8419350357239","-604.4650598071274"
"51","-688.4450446683236","-359.21759305809763","-668.224392417359"
"52","-301.0234108121557","-857.8778957627284","-715.0524889709849"
"53","-481.1658239751068","-327.2894379524002","-653.2393039775792"
"54","-985.6510293112174","-498.0468665263525","-755.313372645047"
"55","-615.0906442999467","-494.9374009150675","-597.6298745797784"
"56","-646.8581034836575","-512.0134322887893","-592.696970843904"
"57","-428.51884813079226","-661.2874102711837","-657.1158043793669"
"58","-478.9865258002469","-659.7092305513728","-642.9674731762944"
"59","-489.9223786425172","-611.9164487634131","-408.7076619099698"
"60","-523.0442004866052","-429.42566604132423","-698.1800350562156"
"61","-489.4860734187111","-469.55733573501686","-413.0732749886968"
"62","-601.3344580583746","-339.97378990344043","-396.4854893059337"
"63","-486.37154322359163","-439.3049705624169","-642.1733256271386"
"64","-520.6983919493027","-395.2936206883074","-667.2918431335422"
"65","-611.3199413291693","-438.1714840546313","-744.7384333849802"
"66","-517.1914650181401","-514.4512861627954","-626.5474337346997"
"67","-550.4694377045046","-853.2134108093971","-447.98958746164635"
"68","-514.3029767294804","-402.6815453865903","-619.9341637907661"
"69","-727.222639351051","-311.630519230941","-405.89137346250266"
"70","-435.6974329085411","-305.3967015878957","-661.4648375518844"
"71","-555.2514766622103","-401.95328790168884","-445.16408636970334"
"72","-551.6852647725816","-465.4041669250543","-559.7946188822552"
"73","-390.9188217948009","-494.9409099640185","-598.357837979254"
"74","-522.1227080739695","-475.1508259117603","-556.5418617575851"
"75","-782.4384142913484","-800.2819298780769","-684.3048348793327"
"76","-664.6973128093464","-850.6623090246273","-608.5401491168935"
"77","-780.3177640297124","-416.63786164133285","-732.2239101166672"
"78","-467.1588790171026","-572.738090122171","-595.3769547154736"
"79","-450.6718420319592","-584.6370067555893","-657.1320984297377"
"80","-298.70025500862687","-345.399791630802","-691.5184116270381"
"81","-509.4457068481158","-557.3530270778464","-708.0988387713472"
"82","-448.79795742737724","-731.1021967264305","-586.0724368073056"
"83","-331.49417786878723","-629.4079835823451","-687.9373583457736"
"84","-823.649430893865","-478.34039314264385","-618.1388641080662"
"85","-725.7844207759705","-512.3137689065752","-673.3568135473901"
"86","-320.0079955282289","-590.4601247140961","-564.0249374709142"
"87","-283.1975801566473","-547.6465010654608","-493.61080907056686"
"88","-474.4800861881888","-407.620092281521","-414.0512018974532"
"89","-323.1602082968675","-442.70460530006704","-761.4813480357855"
"90","-579.0652843716615","-296.94083983103747","-565.488469325459"
"91","-692.4226270421058","-545.5653359326715","-719.9993738988571"
"92","-546.4437511527767","-393.6434014882429","-613.9500312040021"
"93","-755.5637893498994","-462.0751225298443","-719.4302842000519"
"94","-487.0725890486235","-793.915426600328","-773.7376792349552"
"95","-380.67441518790935","-555.4791453032058","-634.1587565434025"
"96","-335.3575716033878","-479.6420341351927","-729.1387114339555"
"97","-761.3626959963369","-791.1790015297664","-781.9609468810324"
"98","-678.189043677128","-123.50891456835522","-495.2479367731881"
"99","-485.6380371404441","-735.5754284191216","-769.5090273814137"
"100","-474.28133061372125","-424.9368658155397","-666.4729427136721"
"101","-490.9268513527006","-562.0168647332132","-525.7823103380333"
"102","-805.6604558640412","-637.6083146750465","-512.0781126725656"
"103","-358.6041241479978","-378.41052102881804","-447.1859923670597"
"104","-482.9796251181012","-435.4409394585782","-646.4511063731119"
"105","-490.6576655814637","-522.4356918106175","-786.3717388224788"
"106","-619.0924291144104","-468.6365865501658","-621.8670198140128"
"107","-508.5397688171766","-953.4546652287181","-715.3703323707778"
"108","-308.6660364171721","-379.82217603590607","-829.7172038611664"
"109","-289.52476658577496","-525.2966594466163","-720.2901031819084"
"110","-390.7532844954275","-964.6463651759207","-739.3553490683041"
"111","-1103.6592741156196","-505.76612541472576","-720.9931541963614"
"112","-463.24032857488316","-725.7367249690103","-763.0816029101907"
"113","-614.9114653778513","-792.5419707418632","-710.0947396829081"
"114","-780.0134172109538","-443.0569563971642","-560.3584155315893"
"115","-353.15525199731826","-524.1569416968375","-590.2245109369758"
"116","-773.0136278499403","-565.016940914567","-604.595077631602"
"117","-489.3059582866033","-530.2823476295551","-834.7553628104603"
"118","-501.1286656392006","-437.54202665954153","-776.58731439591"
"119","-696.5351199680094","-430.46408871521385","-570.3477650759518"
"120","-759.4398634766363","-517.8352655141771","-754.0232172353019"
"121","-575.593781730606","-535.0841637009349","-434.27313790594866"
"122","-432.1722090506599","-327.15918668340623","-411.4137099400599"
"123","-295.32684893290985","-563.4823763452666","-494.923757143851"
"124","-513.4344055140198","-536.7544747680977","-250.5549932636558"
"125","-424.24841763675784","-548.7466459035206","-490.3531668769138"
"126","-428.3881360747998","-431.63175350433255","-449.5844821112869"
"127","-521.6644735385273","-600.3226395757581","-371.2732236300409"
"128","-485.78914083537563","-681.7847617886011","-364.35578615792923"
"129","-609.5648431588505","-441.5856619995626","-295.12166508429766"
"130","-478.9379907266574","-410.1725523741017","-270.6694426389655"
"131","-522.8849791430778","-488.2466317003905","-473.9173780407686"
"132","-623.099458190983","-773.3594051672519","-375.8500422124422"
"133","-484.27714983288564","-858.2032717602127","-479.4553963452504"
"134","-870.5141845952616","-780.5205672148847","-484.1416888189992"
"135","-530.7019337182662","-466.90895823998096","-477.5158855573395"
"136","-907.4400343912099","-683.0616184570803","-404.8149477497501"
"137","-263.12973084873806","-920.8669134899671","-179.21584298201066"
"138","-125.125121507385","-781.0932422413844","-364.30206719769353"
"139","-181.59473967461633","-509.86140527740986","-534.3886004149905"
"140","-360.8400683119522","-629.611258880177","-583.6566947388371"
"141","-172.94258050423232","-502.87048306556244","-509.4952244969877"
"142","-103.1033063174891","-542.7377153528857","-115.7188476682305"
"143","-224.98623908698994","-759.8802018638888","-377.65535632433586"
"144","0.60095907488747","-890.0235792044041","-304.0032944837502"
"145","-204.06016062302072","-430.9554924935217","-440.79120769289375"
"146","-271.21284054927844","-698.7913706547465","-160.2216824618052"
"147","-155.90419668533076","-561.8158048275375","-154.02486920468334"
"148","-261.4111960788215","-516.2984135784983","-184.52066253446407"
"149","-261.3614146345793","-718.292961710627","-303.9429053387993"
"150","-191.40027565107363","-612.0304367927585","-273.12493813020683"
"151","-160.33217024376842","-900.555984064431","-519.8433763128652"
"152","-203.68573788928418","-518.5104646738508","-317.4007316816266"
"153","-197.92707839372565","-748.8410873808318","-49.05807389799265"
"154","-174.1698926046582","-386.5055448726194","-112.87409651653853"
"155","-263.8050047390137","-547.1637284194983","-39.20102858544662"
"156","-101.80422415552863","-521.4555776098387","3.6019076048900445"
"157","-163.62859847079983","-499.09378769045776","-36.21731863714108"
"158","-130.39388046229715","-499.7059432623454","-110.28815035540698"
"159","-136.54661987248636","-468.9421326213592","12.153111895998478"
"160","-157.02078699154714","-398.8652201296378","-221.53427862027098"
"161","-116.90861935463708","-752.6930248508831","177.79200051772744"
"162","-151.20583535130953","-826.9610551236725","-258.45684129011954"
"163","-130.08230703610946","-524.8522207795693","-215.75991640652128"
"164","-117.61811930100401","-811.5600646687445","-175.42580014478904"
"165","-115.89298353288223","-521.6731812741011","-56.5985313663803"
"166","-123.51902798537469","-476.80292695177525","-49.770585727478206"
"167","-140.3998239594918","-526.5112490987301","-85.17443560506558"
"168","-120.53487494858172","-574.588948822335","-130.1312324602852"
"169","-138.8769894385513","-809.6827888642387","-323.8505782148742"
"170","-109.16916533335187","-359.9511344681253","-325.184070417828"
"171","-117.73475741525063","-628.1695789714016","-207.96895254165798"
"172","-127.0562076787084","-493.54439799706415","-38.66578115500117"
"173","-132.47637693817012","-408.17753383963895","-237.46836603306107"
"174","-127.43918426758614","-637.8412233910685","-158.97624740000632"
"175","-134.53155503807426","-440.2015545603285","-107.79634373593102"
"176","-122.22428082507071","-658.4160520442437","-108.35653301903618"
"177","-117.03025607773942","-907.683572238813","-181.63229388342023"
"178","-112.42340974821711","-391.2220066346642","-136.0638739636085"
"179","-128.44469056954216","-2152.670500438436","-180.40051013919708"
"180","-121.85967289470554","-424.67097100236606","-109.32978339591097"
"181","-103.58674194073164","-417.89649077670447","-53.922237378181386"
"182","-128.9406405479034","-465.036052276672","-176.62890774126066"
"183","-114.60398518988661","-488.4899531863053","-125.69372179424067"
"184","-118.98443369032833","-809.5316279388953","-171.11733430191833"
"185","-136.8306037839402","-634.8757622154034","-156.06507643827223"
"186","-96.02454053817655","-542.5719460443144","-164.16585082417797"
"187","-130.91825972765255","-447.77971257556123","-276.68940045518445"
"188","-144.7904040706659","-964.0911079255602","-194.55149896312338"
"189","-138.72566524525848","-444.1100176495516","-161.0378899788443"
"190","-98.10174281210453","-537.9876993962997","-247.6769432885764"
"191","-116.65666898690394","-680.9490146078881","-110.90267700366104"
"192","-108.67809094384404","-516.2378003383224","-138.18359979225033"
"193","-116.53574225524189","-545.0313902786235","-119.05801165146347"
"194","-100.74592726425655","-525.5771271033414","-167.78500257201515"
"195","-95.00419669102365","-867.2103160644854","-130.12230098443732"
"196","-106.79439443902308","-669.711581425577","-137.8499864469149"
"197","-137.8456619720501","-999.7687522461538","-101.6288894024622"
"198","-122.49677513557175","-378.33200086355475","-143.95010763489748"
"199","-131.33677056184465","-297.92461209742055","-131.17744479257772"
"200","-147.48811846454532","-451.81673825378573","-197.5538168605541"
"201","-122.93392215002703","-772.1303693680135","154.99859516301066"
"202","-143.7646892414896","-568.9061413330601","-306.0534250590429"
"203","-91.99606431952701","-600.78919528831","-214.4021177584915"
"204","-111.20244214010896","-941.5397453832841","-138.2369710822254"
"205","-116.89442947517232","-474.8768331767758","-180.3222333896975"
"206","-121.23241859964654","-716.1451180363291","-118.01234542885085"
"207","-111.81676502931823","-542.4090802661374","-135.5173014533819"
"208","-101.38775204516402","-554.5516980893548","-110.28738505251249"
"209","-114.9813362317602","-1007.5460501749815","-126.94626205642264"
"210","-135.13525916778207","-502.8005034072977","-131.21219090161512"
"211","-125.96357107115352","-441.9238333547441","-98.85423823045893"
"212","-99.9388448179653","-529.3910670842095","-110.186403912855"
"213","-125.39597131805654","-450.69072585422947","-108.56469121038913"
"214","-142.10537905845752","-532.1108964178857","-125.35738070596545"
"215","-124.85092939576798","-368.7578102111931","-134.14099212330373"
"216","-120.74007907133615","-628.1724971334033","-62.372524299154215"
"217","-126.76199055403649","-617.7069919703612","-127.06457227754302"
"218","-119.18461901725566","-815.133560214356","-175.0704291797204"
"219","-113.33334177826652","-355.3666224096724","-86.94868613392262"
"220","-121.18891721424347","-1004.2293480632435","-153.59475328202072"
"221","-120.47747334402735","-787.1223036165562","-132.06954850234087"
"222","-102.27505294774231","-655.0931677664347","-220.24492215021513"
"223","-129.97593755839284","-511.96036450424","-189.74470112462723"
"224","-105.84807393669203","-512.0013224556395","-106.74347253047007"
"225","-81.905792053873","-481.4548296614937","-85.69459974056771"
"226","-123.69444199707436","-512.4344683202103","-181.66348246244215"
"227","-129.0446207517882","-460.0524578741994","-154.52641802196797"
"228","-121.7273757080151","-467.3431624505533","-164.67272671837458"
"229","-96.37944990637891","-681.6618085987433","-120.38166965944377"
"230","-134.62269433510608","-643.254843252703","-207.40657525875488"
"231","-96.9672120444743","-836.631805623723","-90.85392299962487"
"232","-125.56209044348235","-515.2884965079511","-108.71513636283817"
"233","-150.26773645808362","-795.9828701243089","-131.4096343484792"
"234","-134.27858983689632","-673.2742407453065","-102.72736231993444"
"235","-108.70095884651093","-600.2707314124677","-200.65985692035736"
"236","-96.06867153765718","-424.17299611056023","-120.25619524596773"
"237","-111.39990012782302","-569.616962380268","-112.93899879799473"
"238","-135.98263613441154","-765.4973692022082","-89.54543079343428"
"239","-97.2958065157226","-619.8497461698526","-107.04509634253897"
"240","-129.66142367286713","-456.7699104708709","-173.25309113406803"
"241","-109.81487640550439","-919.9611911973003","-82.41738130435304"
"242","-109.66510981267294","-707.9974090740034","-194.79042511622566"
"243","-126.97158715720388","-594.5028366811187","-177.15321744861058"
"244","-122.49152175367323","-422.5603039952455","-116.0657113063903"
"245","-138.6200806006812","-472.90266538375874","-82.41933872467304"
"246","-127.48331952508003","-697.587850033909","-177.4389981588664"
"247","-97.5372429448577","-322.7559139745363","-136.28795854035548"
"248","-87.8076035440195","-471.14932090317615","-125.37542794816372"
"249","-122.44787422662365","-348.605738305443","-102.49385857027126"
"250","-116.51285137131327","-466.624846451787","-190.49758165532808"
"251","-111.96697061891541","-496.1704501611751","-206.49976948672747"
"252","-121.1029575651828","-579.562297989145","-245.43282884464625"
"253","-119.9922603722093","-377.7292617823259","-95.53117265634123"
"254","-121.14311046610062","-472.4452912729493","-175.13361965226244"
"255","-126.2524476335177","-503.4901920506746","-85.14325835823517"
"256","-121.30377983734468","-443.9552522964548","-142.5256092282851"
"257","-105.02663033980649","-496.04331580350333","-79.46348279207582"
"258","-118.48012759015378","-553.2455962399229","-152.563789239736"
"259","-111.04369438237912","-329.18041992995825","-189.00083603607862"
"260","-116.08937792376527","-590.969050799881","-154.60124850095943"
"261","-142.12723990035272","-495.9099366240238","-67.8867342349637"
"262","-122.0145244006904","-768.61881734702","-85.65537059262816"
"263","-1105.4215800706552","-506.6473235931961","-88.76463678202147"
"264","-696.4885471546122","-391.13866511560695","-141.6259113575208"
"265","-1387.2527961076769","-618.8828920414521","-119.30658602194083"
"266","-1244.758839270255","-465.0950250017259","-106.90878282187879"
"267","-312.0995316499294","-396.557086560863","-128.86149502523125"
"268","-113.71111377377414","-377.93117747318036","-64.61481190495566"
"269","-302.78224438086886","-478.5174940442825","-76.8609365706423"
"270","-107.4636037153955","-483.8262593684138","-63.87120185991526"
"271","-282.2411135930122","-470.0970413764786","-86.4171541550933"
"272","-114.39541055004534","-770.6770277148695","-89.61887644950502"
"273","-347.3088544091886","-813.6249758850307","-85.95347886649044"
"274","-96.32871385292724","-467.0848683389119","-40.741219229570284"
"275","-171.86899592401522","-750.4433125701037","-90.40761411409008"
"276","-219.33467903760524","-457.74543148464187","-205.93017830806264"
"277","-212.77398292233414","-381.83884394851424","-57.0254575492817"
"278","-185.65879306149748","-503.10651881065525","-59.54759961914881"
"279","-253.70608373385184","-770.6373401068967","-103.84309588050434"
"280","-264.8150665225087","-734.6565471161141","-59.56767653289642"
"281","-153.76392535694322","-746.8967656178219","-38.08927883094939"
"282","-206.3657572650061","-584.6795740923124","-49.14650504638085"
"283","-80.87176152477348","-625.9960757415747","-1.993757679987565"
"284","-324.93589747880696","-558.0805155375509","-59.6561681658538"
"285","-402.9939657979853","-400.05066588223605","-8.25553965897273"
"286","-316.84437639717225","-506.1068044803519","-47.664180872565666"
"287","-224.68642118694356","-577.565039442808","-51.78220066837252"
"288","-171.78861895680967","-731.6318394933686","-31.058545637082908"
"289","-277.5494013444843","-492.0681179856491","-84.28132619211914"
"290","-185.456204305152","-479.5890196251803","-73.63544683533324"
"291","-191.13181900378487","-437.83893876888715","-28.386657043089805"
"292","-289.0516597775918","-413.46449275003766","-64.11090567458879"
"293","-198.864231067241","-719.233723799087","-108.82941816932355"
"294","-310.5984342121935","-507.29886303577996","-64.57853172754412"
"295","-113.30875256873063","-905.5318973813063","-39.49491584310586"
"296","-199.2454400889278","-593.3517970913795","-24.214273712168538"
"297","-115.62119522148706","-439.049221154147","-41.23340708718757"
"298","-133.245089529561","-560.737524185464","-92.28564105628462"
"299","-171.38699549105118","-411.3652328476084","-150.96863793064995"
"300","-193.83317827841688","-837.422788520665","-43.29851995866316"
"301","-204.07096452991507","-542.5949372231667","-5.458917414816712"
"302","-203.39711273057063","-422.68799164912645","-75.84883167789444"
"303","-161.63870856270302","-450.61296147614246","-29.87581497753667"
"304","-258.95692371033624","-380.9184367982521","-90.23094493866257"
"305","-162.9224220020841","-420.0846363481108","-21.523500100903973"
"306","-279.0041072627488","-490.6655556915556","-69.83592150719636"
"307","-194.2392979047792","-720.6136912888961","-90.27350211952839"
"308","-256.797493465445","-604.1675472400839","-75.90629577499264"
"309","-161.3016140021087","-483.0990797433246","-45.301793176454595"
"310","-152.35873123771134","-429.9413771387372","-71.12975009469112"
"311","-134.53204832815942","-497.4310907752141","-77.84349954357457"
"312","-205.5629219187476","-819.8798922178632","-47.473917002062635"
"313","-202.60131763880656","-381.71797795853104","-46.340675345688375"
"314","-171.40401799515476","-518.3305447603067","-29.103704072967307"
"315","-98.97931591244358","-378.97832896721985","-121.57307246647581"
"316","-131.5781987248954","-996.3762444397994","-197.4699782658342"
"317","-277.8780721201448","-723.8774724176352","-99.97765502156547"
"318","-120.26298364536459","-564.8714309160829","-151.9558351973933"
"319","-168.66526326387384","-698.9831432974378","-167.14608162029708"
"320","-139.22820030887482","-810.1527644073607","-179.70142288644314"
"321","-163.2329553327505","-507.7538773092271","-204.90745809025026"
"322","-169.02371975389008","-562.0057307343068","-149.49624469116387"
"323","-114.75045088732247","-462.0289195029545","-187.4855401166493"
"324","-163.82001382864493","-813.3067382166356","-218.5622424611636"
"325","-119.88395551522109","-841.6311898293313","-159.35249801678276"
"326","-125.29361182161153","-835.9480626815241","-128.3604752514929"
"327","-102.67821630211643","-1045.846814357782","-69.2820292098925"
"328","-112.18779705797192","-771.6799419262793","-188.74909681309845"
"329","-107.860725215474","-624.7331141145635","-30.906016524429255"
"330","-127.94358669677375","-567.0884361431658","-60.6412134050449"
"331","-232.42302599289536","-419.1549075879055","-61.16422702237969"
"332","-117.6135746994279","-469.4036733451284","-107.24147027025414"
"333","-260.9363518313247","-816.094423398598","-141.71301028721751"
"334","-103.02395285598237","-582.303808885699","-65.39315754130975"
"335","-78.11896893218095","-512.1813581962497","-68.97051402269584"
"336","-86.85982936241825","-730.5136794162034","-39.94211387552685"
"337","-208.64807571133835","-485.4206893069436","-64.39594970180455"
"338","-134.13326373937525","-469.7609099923807","-73.11532838184986"
"339","-151.75853763178057","-483.3715169383872","-34.13449932508156"
"340","-86.27932534688354","-546.4959142741681","-84.63581096808147"
"341","-115.9389358486199","-588.4133890383822","-35.71913371005276"
"342","-209.25024100163753","-641.1213532386299","-87.1421726711027"
"343","-103.12464948610368","-510.8668682002961","-60.74243089553574"
"344","-100.6475094687794","-774.5895051946923","-9.95333150952496"
"345","-195.7054699058398","-1021.8713548003683","-6.7324139997995065"
"346","-114.20565300119294","-451.21820450037774","-20.215792405394513"
"347","-143.4358352072806","-594.3137972511611","-17.764145611514788"
"348","-167.18248004914363","-620.192961435053","-22.118953538298978"
"349","-170.29365099390003","-525.53759488739","-94.39716988302573"
"350","-244.18474161982786","-473.8394610451011","-7.491707954537739"
"351","-110.74034705653668","-856.6223825480339","5.792005640147377"
"352","-155.14081325534377","-682.3277702383568","-17.702860570456618"
"353","-316.15949108776977","-507.3910752695628","-33.51257810424855"
"354","-244.4319514797828","-326.5689252280305","-58.38022566348539"
"355","-256.25136767491983","-664.3508768240554","-28.28552669479689"
"356","-233.52728783015166","-646.1183401917162","-49.309514530255406"
"357","-99.01582326485756","-487.0961872466745","-28.803269317294752"
"358","-89.14229439789742","-402.1841925564481","-41.055972814319354"
"359","-228.41996039631604","-688.1146297809754","-37.608322487516055"
"360","-117.99224361525734","-501.27197760001394","-39.618616449487234"
"361","-119.72741155186166","-495.5251647895783","-52.05999946971883"
"362","-157.71889516127857","-676.910185517625","-37.09677303587994"
"363","-104.13853155414256","-825.3983350729663","-10.757174268604475"
"364","-116.47941276573188","-615.8414726703667","-53.06882591770582"
"365","-77.57923599458849","-620.3654854634165","5.315627738472863"
"366","-70.48978129245775","-586.0900487619023","-40.930024084014754"
"367","-66.86433779362157","-685.0564987900971","-7.414629159475513"
"368","-79.3453645126797","-768.7153977613852","-46.04434030051223"
"369","-83.17557461872279","-334.5267727611688","-24.149179243108883"
"370","-20.32494293808319","-414.44330598899603","-26.855813908496113"
"371","-66.37029513103677","-436.84717295242126","-13.048732854943207"
"372","-38.856508609054075","-815.535637467654","-55.59158782821737"
"373","-34.03125533477822","-720.4387925817306","7.2565342826592705"
"374","-20.029013599947792","-468.97482762036697","-16.81415463879616"
"375","-45.19408815702155","-552.7956620681183","-4.414663809143664"
"376","-50.005819033325224","-391.3058595842497","-12.41019268640974"
"377","-44.77635951274023","-505.3140611763797","42.4954227019313"
"378","-65.34520035098417","-611.8847139043174","-36.30796617736363"
"379","-37.97923040791106","-828.6837718206027","0.19836932923768746"
"380","-41.18032849742078","-496.1434560982864","-31.315422664528263"
"381","-43.76724661509971","-542.9539338121269","-67.96669677615736"
"382","-26.77937298096558","-442.29004160309665","2.163251433653567"
"383","-25.803358280347243","-464.8230429023401","-46.76416321720819"
"384","-68.04836242869683","-361.53006372566676","-28.315756259091973"
"385","-20.455861365100528","-600.4846633213997","27.697244351282716"
"386","-50.81274369805723","-535.5702471907898","19.72846166153021"
"387","-1.6161591219077733","-470.7673944903151","124.80050295210981"
