"Step","worthy-wind-9 - Reward","clear-durian-8 - Reward","LunarLander-1 - Reward"
"450","242.7158832503788","-151.621559614207","-79.01150706503297"
"451","195.41475276677198","-113.84817354687279","-137.20715841159017"
"452","249.84138052430734","-115.22654752647466","-121.41220531488983"
"453","220.72133646197648","-96.30774808722686","-55.60338665505672"
"454","176.8437827258354","-168.1681165169249","67.0687996860548"
"455","187.30780392232646","-121.31650692030728","12.567296651476212"
"456","17.118866437400992","-54.091815704501855","17.80579335154017"
"457","-22.638418889911843","-101.37259140881565","191.1488706723373"
"458","-56.45314842335906","-67.20567852286828","270.3355233216005"
"459","-32.9410686726903","-114.58034823988488","60.87336856599305"
"460","137.9360023399709","-61.60132329537801","82.17991171652592"
"461","-19.48714155504129","-127.23331496884859","204.82532996145085"
"462","-80.43438194649264","-202.51969818515633","170.8816693756544"
"463","-97.6345902714274","-132.627476815242","239.41467695122503"
"464","-389.7782980786916","-131.3746602032105","-45.54157780766415"
"465","-38.28790120463172","-158.2579125379866","161.53875002871405"
"466","-29.18983089252657","-244.09430627349312","-1.4444666450379797"
"467","196.0219354131228","-140.655574997795","66.37565678481388"
"468","194.25450728410613","-153.6227687283179","63.708280306679285"
"469","228.63269335872758","-345.22183121886053","210.06460309162946"
"470","-17.630329880656433","-140.03597336967886","-49.70165901069397"
"471","239.9593110485199","-127.74036650490365","221.2305512568043"
"472","181.77999203138035","-92.20537598260552","4.3572583868986206"
"473","248.57810321420402","-143.14989284126779","183.38986534216943"
"474","-20.43363466658822","-111.7513824711005","140.99704609145613"
"475","276.45769127803163","-277.53261541308996","185.38244596237442"
"476","-18.079578612276663","-167.99982337979276","249.61795192899666"
"477","272.0444250785255","-140.50265750735076","3.6339277210242225"
"478","16.903775992714344","-95.80630672744287","223.8060446594819"
"479","-1.5791943064432132","-139.59546391659595","214.5808821729068"
"480","24.02425447808028","13.655041518288058","5.435267387620348"
"481","230.78113200147718","-112.2336193772226","193.39149630428113"
"482","51.04191078442739","-55.21779380588093","163.45853512218588"
"483","262.39532158240127","-33.30887881063569","167.51249703447553"
"484","251.58015750960035","-220.2645206662217","-39.04768162858325"
"485","270.0784526181658","-62.876608259770705","20.39663510406213"
"486","213.77093275500948","-121.18977044934243","197.62344690577936"
"487","255.66600555774357","-156.90616936058967","236.5455702250492"
"488","271.55068863370764","-114.0888515810501","288.86068162743493"
"489","-8.764365149518584","-152.91098523895005","205.88869740678314"
"490","236.7079285899572","-126.62512014790022","284.99553141239926"
"491","309.8959881295474","-168.50784761314026","30.030185101321706"
"492","243.91525901832125","-124.91335495790216","152.54280774849346"
"493","226.48971100444265","-124.87623448313303","255.6585262100562"
"494","267.6423484149683","-162.49106527740543","249.22654417694986"
"495","249.75486932968468","-133.4524020310006","195.5864389194873"
"496","122.56134723775487","-141.25909165706238","-3.8139402530956934"
"497","-45.751993251553486","-133.0838684091823","214.3075874299788"
"498","252.11569149944086","-140.7121010865905","285.0875924254426"
"499","27.313761023145474","-171.18140270377893","87.97061641978738"
