"Step","distinctive-hill-4 - Reward","gentle-elevator-3 - Reward","different-firefly-2 - Reward"
"51","-1135.8188396581038","-1226.5678189832154","-1016.5827746377354"
"52","-1140.5928853459843","-835.933160459834","-880.1508165985448"
"53","-1755.2545540077103","-1260.2007132393094","-1053.1300349401574"
"54","-1366.1630127980793","-995.9482902423484","-1059.170345900024"
"55","-1135.8513811176","-550.0734112642594","-1224.5417627805518"
"56","-968.9553921534618","-935.1551792774169","-1205.9299833984894"
"57","-1219.9277027682597","-1584.2105432603355","-1261.0263417144265"
"58","-1132.5575153669217","-893.1915450262937","-991.2819617783136"
"59","-1307.466214214299","-846.1427260918325","-1089.9417725705118"
"60","-1290.871530519115","-1131.7491827097213","-559.4916934731575"
"61","-999.1684137806492","-789.5346229865194","-984.0233828026737"
"62","-899.870123803834","-878.7597247328788","-596.5550867555428"
"63","-1251.3300197422845","-908.3859458964148","-274.7380399122305"
"64","-998.44437054126","-772.4037877636262","-922.7477119048294"
"65","-1337.9615123792635","-1102.3868109164287","-1233.0262743442995"
"66","-1369.785636573198","-916.7029932369031","-981.745225116003"
"67","-1274.2820265502364","-920.1465868593798","-953.4291012862631"
"68","-1173.710296800721","-1063.6844861062455","-1001.4416873265482"
"69","-380.24006242301647","-903.4818764492245","-990.2456985786142"
"70","-1268.7380404814883","-975.720310490906","-1015.0212006866686"
"71","-752.2588808266108","-888.9471254677297","-842.0562341654468"
"72","-632.030394036545","-925.4373689970606","-984.525754234405"
"73","-715.0567544506468","-1072.0987645541109","-905.8580646768436"
"74","-1109.6489527000786","-971.1192965322409","-1136.907709793159"
"75","-754.6892859402535","-887.0722154217104","-867.5849674698842"
"76","-1178.3733058476923","-891.496327659339","-864.5380196405459"
"77","-1162.3929981833858","-953.9834026939282","-879.3178938015781"
"78","-126.18975889608632","-1009.7709953620043","-373.8398158923067"
"79","-0.4822774162267329","-1013.4140882788087","-753.0206682588873"
"80","-1154.490428073833","-1040.6632998768323","-494.74565612844975"
"81","-1009.8794224055296","-900.0296101035956","-376.10818117299243"
"82","-1031.041230643868","-1014.8616587583489","-742.1470110049436"
"83","-253.19912194802222","-1047.0276784183732","-500.76629329239535"
"84","-626.0441122553259","-1065.1218900185409","-892.5339234547456"
"85","-882.4128799105716","-1065.9579819931148","-498.32630071824343"
"86","-1118.5063695036383","-1067.7863027944845","-738.1586781747395"
"87","-128.91614726978767","-1044.4367912586351","-367.3574740732487"
"88","-1361.6066295763178","-1035.395114655505","-482.89253825714144"
"89","-251.6572839135534","-978.0658887501103","-944.2190832625134"
"90","-1032.7325103799462","-1032.8878348384633","-616.331897290388"
"91","-621.8058043144922","-1053.809607952315","-610.8300770786523"
"92","-877.9851574426241","-1014.9737391317753","-380.95552055732907"
"93","-780.1796797989417","-968.7196207758694","-379.88525117429657"
"94","-772.1581212643387","-1053.080656229371","-816.3325715422277"
"95","-1028.2635843586106","-1031.7023348423247","-737.3066936892914"
"96","-1734.2811930088467","-1023.9050513444753","-613.3831246384843"
"97","-126.70084905456496","-1038.4747443515994","-719.0201777563341"
"98","-2.721048015400562","-982.291679434724","-470.4679965348458"
"99","-373.7255355683881","-1051.9998843711578","-1009.5589297740689"
"100","-129.23949239727457","-904.701658663281","-501.11227884244636"
"101","-2.411681595055098","-881.5999545564415","-761.275133373026"
"102","-127.50051147720444","-886.848190769963","-621.6208583111463"
"103","-1729.073849372669","-902.6629668324613","-500.9556030221846"
"104","-1730.4805045179182","-758.0244018089164","-620.8876214477017"
"105","-811.1790950438697","-756.4644481749871","-622.968283785174"
"106","-126.10197565072214","-841.3462672032948","-616.9808647589098"
"107","-273.39662912690545","-664.6114402234855","-617.8995983324573"
"108","-374.2700052300167","-825.0049744219834","-502.4860194571064"
"109","-502.9296095329982","-635.4916967663823","-621.4225083203901"
"110","-128.1221875615817","-633.844869144544","-503.13034058063624"
